Iteração,API,TIPO,Tempo de Resposta (ms),Tamanho da Resposta (bytes)
31,REST Get Repo PRs,rest,776.76,1168277
31,GraphQL Get Repo PRs,graphql_1,415.26,3237
31,GraphQL Get Repo PRs More Info,graphql_2,958.22,27078
32,REST List Repos,rest,378.51,36311
32,GraphQL List Repos,graphql_1,513.61,1006
32,GraphQL List Repos More Info,graphql_2,1432.15,21604
32,REST Get Repo PRs,rest,811.35,1168277
32,GraphQL Get Repo PRs,graphql_1,518.75,3237
32,GraphQL Get Repo PRs More Info,graphql_2,1022.87,27078
33,REST List Repos,rest,378.98,36311
33,GraphQL List Repos,graphql_1,512.14,1006
33,GraphQL List Repos More Info,graphql_2,1537.04,21604
33,REST Get Repo PRs,rest,791.78,1168277
33,GraphQL Get Repo PRs,graphql_1,435.27,3237
33,GraphQL Get Repo PRs More Info,graphql_2,819.66,27078
34,REST List Repos,rest,379.66,36311
34,GraphQL List Repos,graphql_1,509.23,1006
34,GraphQL List Repos More Info,graphql_2,1331.22,21604
34,REST Get Repo PRs,rest,794.18,1168277
34,GraphQL Get Repo PRs,graphql_1,433.13,3237
34,GraphQL Get Repo PRs More Info,graphql_2,923.57,27078
35,REST List Repos,rest,378.38,36311
35,GraphQL List Repos,graphql_1,510.12,1006
35,GraphQL List Repos More Info,graphql_2,1330.48,21604
35,REST Get Repo PRs,rest,779.40,1168277
35,GraphQL Get Repo PRs,graphql_1,449.25,3237
35,GraphQL Get Repo PRs More Info,graphql_2,818.88,27078
36,REST List Repos,rest,277.32,36311
36,GraphQL List Repos,graphql_1,408.30,1006
36,GraphQL List Repos More Info,graphql_2,1126.72,21604
36,REST Get Repo PRs,rest,788.89,1168277
36,GraphQL Get Repo PRs,graphql_1,439.38,3237
36,GraphQL Get Repo PRs More Info,graphql_2,820.15,27078
37,REST List Repos,rest,377.73,36311
37,GraphQL List Repos,graphql_1,511.51,1006
37,GraphQL List Repos More Info,graphql_2,1333.75,21604
37,REST Get Repo PRs,rest,775.66,1168277
37,GraphQL Get Repo PRs,graphql_1,448.72,3237
37,GraphQL Get Repo PRs More Info,graphql_2,922.30,27078
38,REST List Repos,rest,377.67,36311
38,GraphQL List Repos,graphql_1,716.92,1006
38,GraphQL List Repos More Info,graphql_2,1228.51,21604
38,REST Get Repo PRs,rest,897.01,1168277
38,GraphQL Get Repo PRs,graphql_1,434.10,3237
38,GraphQL Get Repo PRs More Info,graphql_2,997.83,27078
39,REST List Repos,rest,300.59,36311
39,GraphQL List Repos,graphql_1,511.50,1006
39,GraphQL List Repos More Info,graphql_2,1229.71,21604
39,REST Get Repo PRs,rest,777.87,1168277
39,GraphQL Get Repo PRs,graphql_1,450.74,3237
39,GraphQL Get Repo PRs More Info,graphql_2,922.84,27078
40,REST List Repos,rest,299.13,36311
40,GraphQL List Repos,graphql_1,588.22,1006
40,GraphQL List Repos More Info,graphql_2,1228.46,21604
40,REST Get Repo PRs,rest,779.18,1168277
40,GraphQL Get Repo PRs,graphql_1,450.22,3237
40,GraphQL Get Repo PRs More Info,graphql_2,922.28,27078
41,REST List Repos,rest,377.65,36311
41,GraphQL List Repos,graphql_1,615.76,1006
41,GraphQL List Repos More Info,graphql_2,1533.83,21604
41,REST Get Repo PRs,rest,689.14,1168277
41,GraphQL Get Repo PRs,graphql_1,538.75,3237
41,GraphQL Get Repo PRs More Info,graphql_2,821.63,27078
42,REST List Repos,rest,376.23,36311
42,GraphQL List Repos,graphql_1,409.51,1006
42,GraphQL List Repos More Info,graphql_2,1228.38,21604
42,REST Get Repo PRs,rest,774.68,1168277
42,GraphQL Get Repo PRs,graphql_1,555.11,3237
42,GraphQL Get Repo PRs More Info,graphql_2,922.68,27078
43,REST List Repos,rest,377.86,36311
43,GraphQL List Repos,graphql_1,511.61,1006
43,GraphQL List Repos More Info,graphql_2,1739.56,21604
43,REST Get Repo PRs,rest,776.69,1168277
43,GraphQL Get Repo PRs,graphql_1,452.57,3237
43,GraphQL Get Repo PRs More Info,graphql_2,920.91,27078
44,REST List Repos,rest,378.46,36311
44,GraphQL List Repos,graphql_1,512.13,1006
44,GraphQL List Repos More Info,graphql_2,1535.24,21604
44,REST Get Repo PRs,rest,780.46,1168277
44,GraphQL Get Repo PRs,graphql_1,447.33,3237
44,GraphQL Get Repo PRs More Info,graphql_2,819.93,27078
45,REST List Repos,rest,378.06,36311
45,GraphQL List Repos,graphql_1,410.97,1006
45,GraphQL List Repos More Info,graphql_2,1227.01,21604
45,REST Get Repo PRs,rest,714.75,1168277
45,GraphQL Get Repo PRs,graphql_1,410.38,3237
45,GraphQL Get Repo PRs More Info,graphql_2,922.93,27078
46,REST List Repos,rest,275.81,36311
46,GraphQL List Repos,graphql_1,581.93,1006
46,GraphQL List Repos More Info,graphql_2,1464.89,21604
46,REST Get Repo PRs,rest,695.19,1168277
46,GraphQL Get Repo PRs,graphql_1,531.90,3237
46,GraphQL Get Repo PRs More Info,graphql_2,922.58,27078
47,REST List Repos,rest,377.90,36311
47,GraphQL List Repos,graphql_1,715.93,1006
47,GraphQL List Repos More Info,graphql_2,1536.68,21604
47,REST Get Repo PRs,rest,780.92,1168277
47,GraphQL Get Repo PRs,graphql_1,446.21,3237
47,GraphQL Get Repo PRs More Info,graphql_2,1024.94,27078
48,REST List Repos,rest,378.43,36311
48,GraphQL List Repos,graphql_1,511.74,1006
48,GraphQL List Repos More Info,graphql_2,1227.68,21604
48,REST Get Repo PRs,rest,782.50,1168277
48,GraphQL Get Repo PRs,graphql_1,446.36,3237
48,GraphQL Get Repo PRs More Info,graphql_2,921.41,27078
49,REST List Repos,rest,378.11,36311
49,GraphQL List Repos,graphql_1,620.01,1006
49,GraphQL List Repos More Info,graphql_2,1326.03,21604
49,REST Get Repo PRs,rest,778.77,1168277
49,GraphQL Get Repo PRs,graphql_1,551.39,3237
49,GraphQL Get Repo PRs More Info,graphql_2,820.02,27078
50,REST List Repos,rest,376.79,36311
50,GraphQL List Repos,graphql_1,512.19,1006
50,GraphQL List Repos More Info,graphql_2,1432.91,21604
50,REST Get Repo PRs,rest,1507.37,1168277
50,GraphQL Get Repo PRs,graphql_1,437.55,3237
50,GraphQL Get Repo PRs More Info,graphql_2,923.07,27078
51,REST List Repos,rest,377.43,36311
51,GraphQL List Repos,graphql_1,408.38,1006
51,GraphQL List Repos More Info,graphql_2,1126.77,21604
51,REST Get Repo PRs,rest,673.94,1168277
51,GraphQL Get Repo PRs,graphql_1,451.36,3237
51,GraphQL Get Repo PRs More Info,graphql_2,921.95,27078
52,REST List Repos,rest,379.25,36311
52,GraphQL List Repos,graphql_1,510.92,1006
52,GraphQL List Repos More Info,graphql_2,1535.56,21604
52,REST Get Repo PRs,rest,714.90,1168277
52,GraphQL Get Repo PRs,graphql_1,512.85,3237
52,GraphQL Get Repo PRs More Info,graphql_2,819.49,27078
53,REST List Repos,rest,378.48,36311
53,GraphQL List Repos,graphql_1,511.36,1006
53,GraphQL List Repos More Info,graphql_2,2047.26,21604
53,REST Get Repo PRs,rest,792.59,1168277
53,GraphQL Get Repo PRs,graphql_1,435.86,3237
53,GraphQL Get Repo PRs More Info,graphql_2,921.75,27078
54,REST List Repos,rest,378.69,36311
54,GraphQL List Repos,graphql_1,510.51,1006
54,GraphQL List Repos More Info,graphql_2,1331.24,21604
54,REST Get Repo PRs,rest,744.42,1168277
54,GraphQL Get Repo PRs,graphql_1,484.39,3237
54,GraphQL Get Repo PRs More Info,graphql_2,818.62,27078
55,REST List Repos,rest,480.52,36311
55,GraphQL List Repos,graphql_1,512.78,1006
55,GraphQL List Repos More Info,graphql_2,1535.37,21604
55,REST Get Repo PRs,rest,1104.28,1168277
55,GraphQL Get Repo PRs,graphql_1,431.13,3237
55,GraphQL Get Repo PRs More Info,graphql_2,1024.27,27078
56,REST List Repos,rest,378.93,36311
56,GraphQL List Repos,graphql_1,427.19,1006
56,GraphQL List Repos More Info,graphql_2,1620.56,21604
56,REST Get Repo PRs,rest,987.07,1168277
56,GraphQL Get Repo PRs,graphql_1,444.15,3237
56,GraphQL Get Repo PRs More Info,graphql_2,825.47,27078
57,REST List Repos,rest,372.72,36311
57,GraphQL List Repos,graphql_1,614.46,1006
57,GraphQL List Repos More Info,graphql_2,2149.98,21604
57,REST Get Repo PRs,rest,783.89,1168277
57,GraphQL Get Repo PRs,graphql_1,443.10,3237
57,GraphQL Get Repo PRs More Info,graphql_2,923.88,27078
58,REST List Repos,rest,581.61,36311
58,GraphQL List Repos,graphql_1,511.52,1006
58,GraphQL List Repos More Info,graphql_2,1843.85,21604
58,REST Get Repo PRs,rest,709.21,1168277
58,GraphQL Get Repo PRs,graphql_1,620.93,3237
58,GraphQL Get Repo PRs More Info,graphql_2,921.10,27078
59,REST List Repos,rest,377.74,36311
59,GraphQL List Repos,graphql_1,514.19,1006
59,GraphQL List Repos More Info,graphql_2,1942.89,21604
59,REST Get Repo PRs,rest,721.35,1168277
59,GraphQL Get Repo PRs,graphql_1,507.82,3237
59,GraphQL Get Repo PRs More Info,graphql_2,819.12,27078
60,REST List Repos,rest,514.09,36311
60,GraphQL List Repos,graphql_1,477.85,1006
60,GraphQL List Repos More Info,graphql_2,1136.60,21604
60,REST Get Repo PRs,rest,766.41,1168277
60,GraphQL Get Repo PRs,graphql_1,553.18,3237
60,GraphQL Get Repo PRs More Info,graphql_2,1233.15,27078
61,REST List Repos,rest,374.14,36311
61,GraphQL List Repos,graphql_1,415.09,1006
61,GraphQL List Repos More Info,graphql_2,1428.38,21604
61,REST Get Repo PRs,rest,712.52,1168277
61,GraphQL Get Repo PRs,graphql_1,514.53,3237
61,GraphQL Get Repo PRs More Info,graphql_2,819.82,27078
62,REST List Repos,rest,378.60,36311
62,GraphQL List Repos,graphql_1,510.80,1006
62,GraphQL List Repos More Info,graphql_2,1643.55,21604
62,REST Get Repo PRs,rest,684.45,1168277
